objectid,parentid,title,proprietor,date_start,date_end,date_text,HoMER_venue,description,seats_number,address,location,latitude,longitude,source,format,display_template,description_file,filename,object_location,image_small,image_thumb
icp-0084,,"Emerald Picture Palace, Arklow",R.A. Prout; Alexander McGowan,1913,,,Cinema,,,South Quay,Arklow,52.798065,-6.152074,,,cinema_site,,,,/objects/small/emerald_arklow_wp_4-oct-1913_sm.jpg,/objects/thumbs/emerald_arklow_wp_4-oct-1913_th.jpg
icp-0084a,icp-0084,,,,,,,,,,,,,,image/jpeg,image,,emerald_arklow_wp_4-oct-1913.jpg,/objects/emerald_arklow_wp_4-oct-1913.jpg,/objects/small/emerald_arklow_wp_4-oct-1913_sm.jpg,/objects/thumbs/emerald_arklow_wp_4-oct-1913_th.jpg
icp-0085,,"Grand Cinema, Lurgan",Sam Hewitt,1914,,,Cinema,,,"48 Church Place, Main Street",Lurgan,54.46313572,-6.33335622,,,cinema_site,,,,/objects/small/grand-cinema_lurgan_lut_22-aug-1914_sm.jpg,/objects/thumbs/grand-cinema_lurgan_lut_22-aug-1914_th.jpg
icp-0085a,icp-0085,,,,,,,,,,,,,,image/jpeg,image,,grand-cinema_lurgan_lut_22-aug-1914.jpg,/objects/grand-cinema_lurgan_lut_22-aug-1914.jpg,/objects/small/grand-cinema_lurgan_lut_22-aug-1914_sm.jpg,/objects/thumbs/grand-cinema_lurgan_lut_22-aug-1914_th.jpg
icp-0086,,"Frontier Picture House, Newry",Royal North American Picture Co (Hickey),1913,,,Cinema,,,2-3 Needham Place (now John Mitchel Place),Newry,54.17206105,-6.337374635,,,cinema_site,,,,/objects/small/frontier-cinema_newry-memoirs_sm.jpg,/objects/thumbs/frontier-cinema_newry-memoirs_th.jpg
icp-0086a,icp-0086,,,,,,,,,,,,,,image/jpeg,image,,frontier-cinema_newry-memoirs.jpg,/objects/frontier-cinema_newry-memoirs.jpg,/objects/small/frontier-cinema_newry-memoirs_sm.jpg,/objects/thumbs/frontier-cinema_newry-memoirs_th.jpg
icp-0087,,"Imperial, Newry",P.J. Casey,1911,,,Cinema,,,Marcus Square,Newry,54.17525193,-6.339035973,,,cinema_site,,,,/objects/small/imperial-pp_newry_nr_16-nov-1911_sm.jpg,/objects/thumbs/imperial-pp_newry_nr_16-nov-1911_th.jpg
icp-0087a,icp-0087,,,,,,,,,,,,,,image/jpeg,image,,imperial-pp_newry_nr_16-nov-1911.jpg,/objects/imperial-pp_newry_nr_16-nov-1911.jpg,/objects/small/imperial-pp_newry_nr_16-nov-1911_sm.jpg,/objects/thumbs/imperial-pp_newry_nr_16-nov-1911_th.jpg
icp-0088,,Navan Picture Theatre,Hibernian Picturedromes (E. Hope-Johnstone),1914,,,Cinema,,,Academy Street,Navan,53.6503503,-6.681608365,,,cinema_site,,,,/objects/small/navan-pt_di_14-feb-1914_sm.jpg,/objects/thumbs/navan-pt_di_14-feb-1914_th.jpg
icp-0088a,icp-0088,,,,,,,,,,,,,,image/jpeg,image,,navan-pt_di_14-feb-1914.jpg,/objects/navan-pt_di_14-feb-1914.jpg,/objects/small/navan-pt_di_14-feb-1914_sm.jpg,/objects/thumbs/navan-pt_di_14-feb-1914_th.jpg
icp-0089,,Navan Picture Palace,Navan Picture House Co.,1914,,,Cinema,,,17 Ludlow Street,Navan,53.652462,-6.683802,,,cinema_site,,,,/objects/small/navan-pp_di_28-feb-1914_sm.jpg,/objects/thumbs/navan-pp_di_28-feb-1914_th.jpg
icp-0089a,icp-0089,,,,,,,,,,,,,,image/jpeg,image,,navan-pp_di_28-feb-1914.jpg,/objects/navan-pp_di_28-feb-1914.jpg,/objects/small/navan-pp_di_28-feb-1914_sm.jpg,/objects/thumbs/navan-pp_di_28-feb-1914_th.jpg
icp-0090,,Youghal Picture Palace,Reuben Hurst (1913-1921); William Shanly (1921-23),1914,,,Cinema,,,Friar Street,Youghal,51.95060628,-7.844599104,,,cinema_site,,,,/objects/small/hursts-pp_youghal_ce_sm.jpg,/objects/thumbs/hursts-pp_youghal_ce_th.jpg
icp-0090a,icp-0090,,,,,,,,,,,,,,image/jpeg,image,,hursts-pp_youghal_ce.jpg,/objects/hursts-pp_youghal_ce.jpg,/objects/small/hursts-pp_youghal_ce_sm.jpg,/objects/thumbs/hursts-pp_youghal_ce_th.jpg
icp-0091,,"Horgan's Picture Palace, Youghal",Horgan,1917,,,Cinema,,,Friar Street,Youghal,51.95046712,-7.844524466,,,cinema_site,,,,/objects/small/horgan-pp_youghal_ce_sm.jpg,/objects/thumbs/horgan-pp_youghal_ce_th.jpg
icp-0091a,icp-0091,,,,,,,,,,,,,,image/jpeg,image,,horgan-pp_youghal_ce.jpg,/objects/horgan-pp_youghal_ce.jpg,/objects/small/horgan-pp_youghal_ce_sm.jpg,/objects/thumbs/horgan-pp_youghal_ce_th.jpg
icp-0092,,"Picture House, Carlow","Thompson, John Hannah (1923)",1915,,,Cinema,,,Burrin Street,Carlow,52.836021,-6.932108,,,cinema_site,,,,/objects/small/burrin-st-cinema_carlow_sm.jpg,/objects/thumbs/burrin-st-cinema_carlow_th.jpg
icp-0092a,icp-0092,,,,,,,,,,,,,,image/jpeg,image,,burrin-st-cinema_carlow.jpg,/objects/burrin-st-cinema_carlow.jpg,/objects/small/burrin-st-cinema_carlow_sm.jpg,/objects/thumbs/burrin-st-cinema_carlow_th.jpg
icp-0093,,Clonmel Picture Theatre,J. Magner,1914,,,Cinema,,,1 Davis Road,Clonmel,52.35471973,-7.69350884,,,cinema_site,,,,/objects/small/magners-interior_clonmel_lola_sm.jpg,/objects/thumbs/magners-interior_clonmel_lola_th.jpg
icp-0093a,icp-0093,,,,,,,,,,,,,,image/jpeg,image,,magners-interior_clonmel_lola.jpg,/objects/magners-interior_clonmel_lola.jpg,/objects/small/magners-interior_clonmel_lola_sm.jpg,/objects/thumbs/magners-interior_clonmel_lola_th.jpg
icp-0094,,"Shamrock, later Gaiety, Picture House, Arklow",John F. Evans,1914,,,Cinema,,,21 Main Street,Arklow,52.79816,-6.15455,,,cinema_site,,,,/objects/small/gaiety-ph_arklow_wp_7-oct-1916_sm.jpg,/objects/thumbs/gaiety-ph_arklow_wp_7-oct-1916_th.jpg
icp-0094a,icp-0094,,,,,,,,,,,,,,image/jpeg,image,,gaiety-ph_arklow_wp_7-oct-1916.jpg,/objects/gaiety-ph_arklow_wp_7-oct-1916.jpg,/objects/small/gaiety-ph_arklow_wp_7-oct-1916_sm.jpg,/objects/thumbs/gaiety-ph_arklow_wp_7-oct-1916_th.jpg
icp-0095,,"Electric Theatre, Dundalk",R.B. Pinchin and O.E. Davies (1910); Irish Empire Palaces (1913),1910,,,Cinema,,,Market Street,Dundalk,54.005186,-6.401164,,,cinema_site,,,,/objects/small/electric-theatre_dundalk_dd_28-may-1910_sm.jpg,/objects/thumbs/electric-theatre_dundalk_dd_28-may-1910_th.jpg
icp-0095a,icp-0095,,,,,,,,,,,,,,image/jpeg,image,,electric-theatre_dundalk_dd_28-may-1910.jpg,/objects/electric-theatre_dundalk_dd_28-may-1910.jpg,/objects/small/electric-theatre_dundalk_dd_28-may-1910_sm.jpg,/objects/thumbs/electric-theatre_dundalk_dd_28-may-1910_th.jpg
icp-0096,,"Town Hall Picture Palace, Dundalk",Dundealgan Picture Company,1912,,,Theatre,,,Crowe Street,Dundalk,54.00464311,-6.400745092,,,cinema_site,,,,/objects/small/town-hall_dundalk_postcards-ireland_linenhall_sm.jpg,/objects/thumbs/town-hall_dundalk_postcards-ireland_linenhall_th.jpg
icp-0096a,icp-0096,,,,,,,,,,,,,,image/png,image,,town-hall_dundalk_postcards-ireland_linenhall.png,/objects/town-hall_dundalk_postcards-ireland_linenhall.png,/objects/small/town-hall_dundalk_postcards-ireland_linenhall_sm.jpg,/objects/thumbs/town-hall_dundalk_postcards-ireland_linenhall_th.jpg
icp-0097,,"Picture Palace, Derry","Irish Living Picture Company (W. Payne Seddon, W. Oliver and G. Robertson)",1912,,,Theatre,,,34 Shipquay Street,Derry,54.99690817,-7.320242916,,,cinema_site,,,,/objects/small/derry_pp_dj_27-mar-1912_sm.jpg,/objects/thumbs/derry_pp_dj_27-mar-1912_th.jpg
icp-0097a,icp-0097,,,,,,,,,,,,,,image/jpeg,image,,derry_pp_dj_27-mar-1912.jpg,/objects/derry_pp_dj_27-mar-1912.jpg,/objects/small/derry_pp_dj_27-mar-1912_sm.jpg,/objects/thumbs/derry_pp_dj_27-mar-1912_th.jpg
icp-0098,,"Town Hall Picture House, Galway",Irish Animated Picture Company (J. T. Jameson and Sons),1912,,,Theatre,,,Courthouse Square,Galway,53.2761936,-9.05397851,,,cinema_site,,,,/objects/small/jameson-pictures_galway-th_ge_15-apr-1916_sm.jpg,/objects/thumbs/jameson-pictures_galway-th_ge_15-apr-1916_th.jpg
icp-0098a,icp-0098,,,,,,,,,,,,,,image/jpeg,image,,jameson-pictures_galway-th_ge_15-apr-1916.jpg,/objects/jameson-pictures_galway-th_ge_15-apr-1916.jpg,/objects/small/jameson-pictures_galway-th_ge_15-apr-1916_sm.jpg,/objects/thumbs/jameson-pictures_galway-th_ge_15-apr-1916_th.jpg
icp-0099,,"St Columb's Hall, Derry",London Motion Picture Company (Joseph Donaghy),1913,,,Theatre,,,Orchard Street,Derry,54.99555984,-7.31876684,,,cinema_site,,,,/objects/small/st-columbs_derry_ls_27-mar-1913_sm.jpg,/objects/thumbs/st-columbs_derry_ls_27-mar-1913_th.jpg
icp-0099a,icp-0099,,,,,,,,,,,,,,image/png,image,,st-columbs_derry_ls_27-mar-1913.jpg,/objects/st-columbs_derry_ls_27-mar-1913.jpg,/objects/small/st-columbs_derry_ls_27-mar-1913_sm.jpg,/objects/thumbs/st-columbs_derry_ls_27-mar-1913_th.jpg
